2000/01;2002/03;2004/05;2006/07;2008/09;2010/11;2012/13;2014/15;2016/17;2017/18;IBGE_LEGEND;POINT_ID;STRATUM;BIOME;geometry
Agua;Agua;Agua;Agua;Agua;Agua;Agua;Agua;Agua;Agua;5Corpo d´água continental;1;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.02709067720182,-7.469501766750295],[-58.024981174628806,-7.469501801913579],[-58.024981174628806,-7.467441090833363],[-58.027090677201834,-7.467441087593211],[-58.02709067720182,-7.469501766750295]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Asp - Floresta Ombrófila Aberta Submontana com palmeiras;2;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.14360765371034,-7.521418675860972],[-58.14154308804149,-7.521418688389568],[-58.14154308804149,-7.519358291742681],[-58.14360765371034,-7.519358240414657],[-58.14360765371034,-7.521418675860972]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Asp - Floresta Ombrófila Aberta Submontana com palmeiras;3;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.062458696815995,-7.812062767465076],[-58.06039408565138,-7.812062772443573],[-58.06039408565139,-7.810003775757851],[-58.062458696815995,-7.810003732080826],[-58.062458696815995,-7.812062767465076]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Asp - Floresta Ombrófila Aberta Submontana com palmeiras;4;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.10200088817634,-7.826609782058319],[-58.09989133769878,-7.826609754357368],[-58.09989133769878,-7.824550828074145],[-58.10200088817634,-7.824550888561156],[-58.10200088817634,-7.826609782058319]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Asp - Floresta Ombrófila Aberta Submontana com palmeiras;5;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.28095059449031,-7.984311177184231],[-58.27888592174908,-7.984311162397237],[-58.27888592174908,-7.982208279544999],[-58.28095059449031,-7.9822082552436555],[-58.28095059449031,-7.984311177184231]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Dae - Floresta Ombrófila Densa Aluvial com dossel emergente;6;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-57.76070837051155,-8.077632094478027],[-57.75864370104453,-8.077632040259777],[-57.75864370104453,-8.075574407212228],[-57.76070837051155,-8.075574422491673],[-57.76070837051155,-8.077632094478027]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Dae - Floresta Ombrófila Densa Aluvial com dossel emergente;7;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-57.75240492314711,-8.098386948235698],[-57.75029540612275,-8.098386968193315],[-57.75029540612275,-8.09628467757736],[-57.75240492314711,-8.096284689321536],[-57.75240492314711,-8.098386948235698]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;2Asc - Floresta Ombrófila Aberta Submontana com cipós;8;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-57.9813097242656,-8.108763973698098],[-57.97920023738445,-8.108764012324439],[-57.97920023738445,-8.106661761493053],[-57.9813097242656,-8.106661755086156],[-57.9813097242656,-8.108763973698098]]]}"
Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;2Sd - Savana Florestada;9;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.26640841421393,-8.382404337494535],[-58.264298875679515,-8.382404330856655],[-58.264298875679515,-8.380303547465779],[-58.26640841421393,-8.380303587457572],[-58.26640841421393,-8.382404337494535]]]}"
Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;2Sd - Savana Florestada;10;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.058284550536214,-8.53778310094396],[-58.05621993095789,-8.537783093749628],[-58.05621993095787,-8.53572786283568],[-58.058284550536214,-8.535727904908954],[-58.058284550536214,-8.53778310094396]]]}"
